id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,43073,TON,2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,45341,TON,2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8094,TON,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,48069,TON,2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,58,TON,2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,TON,2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,14340,TON,2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,TON,2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2016
19,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2016
22,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2016
23,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2016
24,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2016
27,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,54145,TON,2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,59066,TON,2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10808,TON,2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,48482,TON,2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,69,TON,2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,TON,2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,15201,TON,2017
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2017
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2017
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2017
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20,TON,2017
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2017
46,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2017
47,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2017
49,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2017
50,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2017
51,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2017
52,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2017
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2017
54,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,56597,TON,2018
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,71801,TON,2018
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,14863,TON,2018
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2018
59,32,JAWA BARAT,3205,KABUPATEN GARUT,48483,TON,2018
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,69,TON,2018
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2018
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,TON,2018
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2018
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2018
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2018
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,18527,TON,2018
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2018
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2018
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2018
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,612,TON,2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2018
73,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2018
76,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2018
77,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2018
78,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2018
81,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,56597,TON,2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,57863,TON,2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,14863,TON,2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,48485,TON,2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,68,TON,2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,TON,2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,18547,TON,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,612,TON,2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2019
100,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2019
103,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2019
104,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2019
105,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,43183,TON,2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,62073,TON,2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10414,TON,2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,2506,TON,2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,66,TON,2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,TON,2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,14690,TON,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1041,TON,2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2020
127,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2020
130,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2020
131,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2020
132,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2020
135,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2020
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,45148,TON,2021
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,64889,TON,2021
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12965,TON,2021
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2021
140,32,JAWA BARAT,3205,KABUPATEN GARUT,2623,TON,2021
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,67,TON,2021
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2021
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,TON,2021
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2021
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2021
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2021
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2021
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,16398,TON,2021
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2021
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2021
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2021
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,TON,2021
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2021
154,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2021
155,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2021
156,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2021
157,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2021
158,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2021
159,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2021
160,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2021
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2021
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,43824,TON,2022
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,72437,TON,2022
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,15742,TON,2022
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2022
167,32,JAWA BARAT,3205,KABUPATEN GARUT,24150,TON,2022
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,68,TON,2022
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2022
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,TON,2022
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2022
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2022
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2022
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2022
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,19664,TON,2022
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2022
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2022
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2022
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,TON,2022
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2022
181,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2022
182,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2022
183,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2022
184,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2022
185,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2022
186,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2022
187,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2022
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2022
189,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2022
